Waiting to confront Texas school shooter was ‘the wrong decision’ police admit along with string of other failures, 3 weeks ago, The Friday news conference came after days of confusion inconsistencies and a muddled timeline of law enforcement's response to the rampage at, https://www.nbcnews.com/news/us-news/waiting-confront-texas-school-shooter-was-wrong-decision-police-admit-rcna30944 
News brief: Texas school shooting vigil for victims preventing the ..., 3 weeks ago, Have you seen the photos of children elementary school kids who went to school Tuesday morning in Uvalde Texas? LEILA FADEL HOST: They were, https://www.npr.org/2022/05/26/1101423544/morning-news-brief 
Shooting at Elementary School Devastates Community in South Texas, 3 weeks ago, UVALDE Texas — A gunman killed at least 19 children and two adults on Tuesday in a rural Texas elementary school a state police official said, https://www.nytimes.com/live/2022/05/24/us/shooting-robb-elementary-uvalde 
How to help Uvalde Texas school shooting victims, 3 weeks ago, As news of the latest mass shooting in the United States circled the globe many people in the Uvalde Tex, https://www.washingtonpost.com/nation/2022/05/25/help-uvalde-texas-shooting-victims/ 
Gunman's final 90 minutes fuel questions about police delays, 3 weeks ago, UVALDE Texas (AP) — It was 11:28 a, https://apnews.com/article/uvalde-school-shooting-politics-texas-shootings-56a4d01fb1cda19947db89fcb6bd85fd 
Robb Elementary principal breaks down after school shooting testimony, 1 day ago, Robb Elementary principal breaks down after school shooting testimony , https://www.cnn.com/videos/us/2022/06/17/uvalde-school-shooting-principal-breakdown-vo-hendricks-hln-ldn-vpx.hln 
'Good night': 4th grade survivor of Texas school shooting describes gunman’s words before opening fire, 3 weeks ago, Nineteen children and two teachers were killed in the carnage, https://www.nbcnews.com/news/us-news/goodnight-uvalde-school-shooting-survivors-describe-gunmans-words-open-rcna30825 
Texas School Shooting: Related to The Victims Tied To The Shooter Sisters Mourn In Uvalde, 3 weeks ago, Two days after a gunman killed 19 children and two teachers inside a fourth grade classroom at Robb Elementary School in Uvalde Texas sisters, https://www.today.com/parents/parents/texas-school-shooting-uvalde-victims-shooter-rcna30760 
Who is the Texas school shooter? What we know, 3 weeks ago, Salvador Ramos the alleged gunman accused of shooting his grandmother and then targeting dozens of victims – ultimately killing 19 children, https://www.foxnews.com/us/texas-school-shooter-what-we-know 
Families of kids wounded in Uvalde school shooting sue suspected gunman’s estate, 1 week ago, The victims represented in the lawsuit are among 17 kids injured during , https://abcnews.go.com/US/families-kids-wounded-uvalde-school-shooting-sue-suspected/story%3Fid%3D85240503 
Biden says Second Amendment 'not absolute' as more details of ..., 3 weeks ago, They were teary-eyed and shaken at the news there had been a mass shooting another one this time at an elementary school in Texas, https://www.washingtonpost.com/nation/2022/05/25/texas-school-shooting-uvalde-victims-live-updates/ 
Five injured remain in Texas hospitals after Uvalde shooting, 2 weeks ago, Five injured victims remain hospitalized one week after Uvalde school shooting , https://www.texastribune.org/2022/06/01/uvalde-shooting-injured-update/ 
'I don't want it to happen again': Texas school shooting survivor ..., 1 week ago, Zeneta Everhart mother to one of Buffalo's injured victims also addressed lawmakers, https://www.politico.com/news/2022/06/08/uvalde-texas-school-shooting-survivor-pleads-with-congress-00038112 
What We Know About the Texas Elementary School Shooting Victims, 3 weeks ago, , https://www.nytimes.com/article/uvalde-shooting-victims.html 
What we know about the victims of the Uvalde school shooting, 3 weeks ago, They died unable to escape the gunman, https://www.npr.org/2022/05/27/1101286508/what-we-know-about-the-victims-of-the-uvalde-school-shooting 
US Justice Department to review response to Texas school shooting, 3 weeks ago, The Bidens were also scheduled to meet with victims' families survivors and first responders, https://www.aljazeera.com/news/2022/5/29/us-justice-department-to-review-response-to-texas-school-shooting 
Gunman emerged from classroom closet firing at Border Patrol ..., 3 weeks ago, At a memorial for the victims on Uvalde's Main Street Amanda Flores , https://www.washingtonpost.com/nation/2022/05/27/texas-school-shooting-uvalde-victims-live-updates/ 
Uvalde Texas school shooting: 9-year-old victim released from hospital, 2 weeks ago, Crosses with the names of Tuesday's shooting victims are placed outside Robb Elementary School in Uvalde Texas Thursday May 26 2022, https://www.foxnews.com/us/texas-elementary-school-shooting-9-year-old-victim-released-from-hospital 
May 26 Texas shooting news, 3 weeks ago, Nineteen children and two teachers were killed in a shooting at Robb Elementary School in Uvalde Texas on Tuesday officials said, https://www.cnn.com/us/live-news/texas-elementary-school-shooting-05-26-22/index.html 
States With the Most School Shootings | Best States | US News, 3 weeks ago, That includes 43 incidents in Texas 41 in California 37 in Illinois 31 in Florida and 26 in Pennsylvania, https://www.usnews.com/news/best-states/articles/2022-05-27/states-with-the-most-school-shootings 
‘Forgive me forgive my son’: parents of Texas school shooter respond, 3 weeks ago, He was ultimately shot dead by a federal agent in a classroom in which he had barricaded himself with his victims, https://www.theguardian.com/us-news/2022/may/27/texas-school-shooter-parents 
Frantic parents wait for news of their children after Texas school shooting, 3 weeks ago, One mother Maria Garcia was near the school questioning a law enforcement officer hours after the shooting because she was still looking, https://www.nbcnews.com/news/us-news/frantic-parents-wait-news-children-texas-school-shooting-rcna30415 
Texas school shooting: Suspected gunman made threats called 'Yubo school shooter' on platform users said, 3 weeks ago, Crosses with the names of Tuesday's shooting victims are placed outside Robb Elementary School in Uvalde Texas Thursday May 26 2022, https://www.foxnews.com/us/texas-school-shooting-gunman-threats-yubo-school-shooter-social-media 
‘It Was the Wrong Decision’ Police Say of Delay in Confronting Gunman, 3 weeks ago, Follow today's latest news on the Uvalde Texas elementary school shooting, https://www.nytimes.com/live/2022/05/27/us/texas-school-shooting 
‘America is killing itself’: world reacts with horror and incomprehension to Texas shooting, 3 weeks ago, , https://www.theguardian.com/us-news/2022/may/25/international-reaction-texas-school-shooting 
The Uvalde shooting conspiracies show how far-right misinformation ..., 3 weeks ago, Even before details were known about the shooter who killed 19 children and two school faculty at Robb Elementary School in Uvalde Texas, https://www.npr.org/2022/05/26/1101479269/texas-uvalde-school-shooting-misinformation-conspiracy-far-right 
‘Two potential threats’: Black parents fear more school cops in response to mass shootings, 13 hours ago, , https://www.nbcnews.com/politics/two-potential-threats-black-parents-fear-school-cops-response-mass-sho-rcna33908 
Social media ‘friend’ describes Uvalde school shooter, 2 weeks ago, Austin murder suspect arrested in Laredo · Which Texas suburbs are Zillow's most popular markets? · Latest: Uvalde school shooting investigation, https://www.kxan.com/news/texas/uvalde-school-shooting/social-media-friend-describes-uvalde-school-shooter/ 
Texas school shooter allegedly threatened classmates cut scars into his face, 3 weeks ago, The suspect's classmates told ABC News he was known for fighting classmates, https://abcnews.go.com/US/texas-school-shooter-allegedly-threatened-classmates-cut-scars/story%3Fid%3D84962903 
Justice Department to review law enforcement response to Texas school shooting, 3 weeks ago, It was 11:28 a, https://www.kcci.com/article/uvalde-texas-robb-elementary-school-shooting-updates/40127473 
Uvalde Texas gunman was increasingly troubled and violent ..., 3 weeks ago, He then went on a shooting rampage at Robb Elementary School near his home , https://www.washingtonpost.com/nation/2022/05/25/uvalde-texas-school-shooting-gunman/ 
Fact-check: Who was the officer who killed the Uvalde school shooter?, 2 weeks ago, In a May 27 news conference Texas Department of Public Safety director Steven McCraw described how Uvalde police officers Border Patrol agents, https://www.statesman.com/story/news/politics/politifact/2022/06/03/fact-check-officer-who-killed-uvalde-school-shooter-duty/7486301001/ 
California authorities on high alert after Texas school shooting kills 21, 3 weeks ago, Police authorities in some other Southern California counties also vowed to protect the safety of their cities after the latest mass school, https://www.business-standard.com/article/international/california-authorities-on-high-alert-after-texas-school-shooting-kills-21-122052600472_1.html 
Biden says pain ‘palpable’ in Uvalde as memorial services for shooting victims to begin, 3 weeks ago, President returns to White House after visiting small south Texas city and says he will continue to push for gun control, https://www.theguardian.com/us-news/2022/may/30/texas-school-shooting-memorial-service-victims 
Gunman at a Texas elementary school kills 19 students and two adults before being fatally shot officials say, 3 weeks ago, The shooter -- identified by Texas officials as Salvador Ramos of Uvalde -- also , https://www.cnn.com/2022/05/24/us/uvalde-texas-elementary-school-shooting/index.html 
DOJ Will Review Police Response to Uvalde School Shooting, 2 weeks ago, , https://nymag.com/intelligencer/2022/05/mass-shooting-at-uvalde-texas-elementary-school.html 
Texas school shooting: What we know about the victims, 3 weeks ago, Texas school shooting: What we know about the victims · Eva Mireles 44 · Uziyah Garcia 8 · Xavier Lopez 10 · Cousins Jayce Carmelo Luevanos and, https://nypost.com/2022/05/25/texas-school-shooting-what-we-know-about-the-victims/ 
Lawyers for 10-year-old victim zero in on marketing of gun used in ..., 2 weeks ago, Lawyers for 10-year-old victim zero in on marketing of gun used in Uvalde school shooting, https://www.texastribune.org/2022/06/03/uvalde-school-shooting-lawyers/ 
Mass shooting at Texas elementary school: Utah officials react with grief, 3 weeks ago, , https://www.deseret.com/utah/2022/5/24/23140676/mass-shooting-texas-elementary-school-utah-officials-react-grief-gun-laws 
Uvalde shooting survivors community must now cope with trauma, 2 weeks ago, Uvalde offers mental health resources for the victims and considers rebuilding the school where the shooting took place as the community, https://www.texastribune.org/2022/06/03/uvalde-texas-shooting-survivors-trauma/ 
PHOTOS: Families victims of Texas school shooting, 3 weeks ago, People react outside the Civic Center following a deadly school shooting at Robb Elementary School in Uvalde Texas Tuesday May 24 2022, https://www.foxnews.com/us/photos-families-victims-of-texas-school-shooting 
“What do we say?” Texas parents struggle with kids' questions over ..., 3 weeks ago, As the news of the Uvalde shooting spread through schoolyards and , https://www.texastribune.org/2022/05/25/Texas-uvalde-shooting-parents/ 
Texas school shooter bought 2 rifles days after turning 18 'no known mental health history' Abbott says, 3 weeks ago, Lt, https://www.fox13news.com/news/texas-school-shooting-victims-all-in-same-4th-grade-classroom-official 
Debunking 3 Viral Rumors About the Texas Shooting, 3 weeks ago, More on the Texas School Shooting, https://www.nytimes.com/2022/05/25/technology/texas-shooting-misinformation.html 
Wakes held for 10-year-old Uvalde Texas school shooting victims, 3 weeks ago, The first wakes for some of the 21 victims of the Texas school massacre were held Monday — including one for a child who called 911 begging, https://nypost.com/2022/05/30/wake-held-for-uvalde-texas-school-shooting-victim-amerie-jo-garza/ 
May 25 Texas shooting news, 3 weeks ago, Nineteen children and two teachers were killed in a shooting at Robb Elementary School in Uvalde Texas on Tuesday the Texas Department for, https://www.cnn.com/us/live-news/texas-elementary-school-shooting-05-25-22/h_b9936a47dd43e3d0e2fc3c9286ff6f0b 
Two victims of Texas school shooting being treated at military hospital, 3 weeks ago, Two victims in Tuesday's shooting at an elementary school in Uvalde Texas are being treated at Brooke Army Medical Center at Fort Sam, https://www.militarytimes.com/news/your-military/2022/05/25/two-victims-of-texas-school-shooting-being-treated-at-military-hospital/ 
Horror turns to fury over Texas school shooting, 3 weeks ago, Greg Abbott (R) who opposes gun control measures told the world of the news from Uvalde, https://thehill.com/news/house/3500292-horror-turns-fury-over-texas-school-shooting/ 
Second grader describes surviving Texas school shooting: "We were scared and the teacher started telling us we can pray", 3 weeks ago, Second grader describes surviving Texas school shooting: "We were scared and the teacher started telling us we can pray", https://www.cbsnews.com/news/texas-school-shooting-survivor-timothy-silva/ 
One-door schoolhouses not credible solution officials and experts say, 3 weeks ago, As people in Uvalde and across the country groped for solutions in response to the latest mass school shooting Texas Republican officials, https://www.texastribune.org/2022/05/28/uvalde-shooting-school-doors/ 
In Uvalde school shooting aftermath mourners pray for strength, 3 weeks ago, Sign up for The Brief our daily newsletter that keeps readers up to speed on the most essential Texas news, https://www.texastribune.org/2022/05/25/uvalde-texas-school-shooting-vigil/ 
Opinion | Hosts on cable news struggled over Uvalde shooting, 3 weeks ago, Cable news approaches Uvalde school shooting with a practiced weariness , https://www.washingtonpost.com/opinions/2022/05/25/cable-news-uvalde-texas-school-shooting-weary/ 
Texas Robb Elementary School shooting: Latest news videos photos, 3 weeks ago, Texas elementary school shooting · Latest news and videos · Reactions to the shooting · Gun laws and shootings in the US · Do Not Sell My Personal, https://www.cnn.com/specials/us/texas-robb-elementary-shooting 
Massachusetts leaders respond to Texas school shooting, 3 weeks ago, I am horrified by news of another mass shooting and my heart breaks for the families of the young children and teacher killed in Uvalde, https://www.wgbh.org/news/local-news/2022/05/25/massachusetts-leaders-respond-to-texas-school-shooting 
Uvalde police were trained to quickly confront an active shooter. So why did they wait?, 2 weeks ago, A minute later Ramos was in the school parking lot shooting, https://www.theguardian.com/us-news/2022/jun/04/uvalde-police-training-school-shooter-response-time 
Texas school shooting: Burlington County community gathers to honor victims, 3 weeks ago, , https://www.fox29.com/news/texas-school-shooting-burlington-county-community-gathers-to-honor-victims 
During the Uvalde shooting an off-duty federal agent's wife texted him for help. "I asked my barber if he had a gun" he said., 2 weeks ago, , https://www.cbsnews.com/news/uvalde-shooting-texas-jacob-albarado-off-duty-agent/ 
These are the 21 victims of the Texas school shooting, 3 weeks ago, According to initial reports at least two sets of cousins were killed by the gunman: Jackie Cazares and Annabell Rodriguez both 10 and Jayce, https://www.latimes.com/world-nation/story/2022-05-26/texas-school-shooting-victims-21-lives-cut-short 
Your Thursday Briefing: A Texas School Shooting, 3 weeks ago, A deadly school shooting in Texas , https://www.nytimes.com/2022/05/25/briefing/texas-uvalde-shooting-school-asia.html 
Survivors of Uvalde shooting paint horrifying picture of terror and tragedy, 3 weeks ago, Survivors of the mass school shooting in Uvalde Texas , https://www.theguardian.com/us-news/2022/may/28/texas-shooting-uvalde-survivors-stories 
What school shootings do to the kids who survive them from Sandy ..., 3 weeks ago, And then came the news of a school massacre in Texas and all of them felt as if they were in third grade again, https://www.washingtonpost.com/dc-md-va/2022/05/28/survivors-school-shootings-uvalde-sandy-hook/ 
Uvalde police school district no longer cooperating with Texas probe of shooting: Sources, 2 weeks ago, The Uvalde Police Department and the Uvalde Independent School District police , https://abcnews.go.com/US/uvalde-police-school-district-longer-cooperating-texas-probe/story%3Fid%3D85093405 
Survivors of Uvalde shooting paint horrifying picture of terror and tragedy, 3 weeks ago, Survivors of the mass school shooting in Uvalde Texas , https://www.theguardian.com/us-news/2022/may/28/texas-shooting-uvalde-survivors-stories 
What school shootings do to the kids who survive them from Sandy ..., 3 weeks ago, And then came the news of a school massacre in Texas and all of them felt as if they were in third grade again, https://www.washingtonpost.com/dc-md-va/2022/05/28/survivors-school-shootings-uvalde-sandy-hook/ 
Uvalde police school district no longer cooperating with Texas probe of shooting: Sources, 2 weeks ago, The Uvalde Police Department and the Uvalde Independent School District police , https://abcnews.go.com/US/uvalde-police-school-district-longer-cooperating-texas-probe/story%3Fid%3D85093405 
A dad's anguish outside Texas school while shooting unfolded, 3 weeks ago, UVALDE Texas -- Javier Cazares raced to his daughter's school when he heard there was a shooting leaving his truck running with the door, https://abcnews.go.com/US/wireStory/dads-anguish-texas-school-shooting-unfolded-85066011 
Who are the right blaming for the Texas shooting? Trans people immigrants and victims’ parents, 3 weeks ago, Trans people immigrants and victims' parents , https://www.theguardian.com/us-news/2022/may/25/right-wing-blame-uvalde-shooting-transsexuals-immigrants-parents 
Police Knew Texas Shooter Was in Room with Kids Undermining Claim They Thought He Was Barricaded: Witnesses, 2 weeks ago, Video obtained by ABC News taken outside of the school appears to capture a 911 dispatcher telling officers that they were receiving calls, https://people.com/crime/texas-school-shooting-witnesses-say-police-knew-shooter-in-classroom-with-kids/ 
Morning 4: A look at the timeline of the Texas school shooting -- and other news, 3 weeks ago, So let's get to the news, https://www.clickondetroit.com/news/local/2022/05/25/morning-4-at-look-at-the-timeline-of-the-texas-school-shooting-and-other-news/ 
Uvalde Texas elementary school shooting survivor says gunman ..., 3 weeks ago, MORE: What we know about 21 Texas school shooting victims; , https://abc7.com/texas-school-shooting-survivor-played-dead-uvalde-tx-student/11900363/ 
Uvalde school shooting PHOTOS: Latest images from the scene aftermath, 3 weeks ago, Police walk near Robb Elementary School following a shooting Tuesday May 24 2022 in Uvalde Texas, https://www.click2houston.com/news/local/2022/05/24/uvalde-school-shooting-photos-latest-images-from-the-scene-aftermath/ 
Texas was building a program to find troubled students and prevent ..., 2 weeks ago, Created in 2019 the Texas Child Mental Health Care Consortium identifies , https://www.texastribune.org/2022/06/02/uvalde-school-shooting-student-mental-health-program/ 
Uvalde funeral attendant who encountered gunman says he tried to go after shooter was held back, 2 weeks ago, UVALDE Texas — Cody Briseno a funeral attendant who works across the street from the site of the state's deadliest school shooting, https://www.nbcnews.com/news/us-news/uvalde-funeral-attendant-encountered-gunman-says-tried-go-was-held-bac-rcna32003 
Bill Bennett on Texas school shooting and moral decay: Parents need to parent, 2 weeks ago, In the wake of the Texas school shooting in Uvalde in which an 18-year-old , https://www.foxnews.com/lifestyle/bennett-texas-school-shooting-moral-decay-parents 
We asked teachers how their year went. They warned of an exodus ..., 12 hours ago, School is out but teacher stress and burnout is still in session, https://www.npr.org/2022/06/18/1105655954/classroom-in-person-burnout-teachers-school-shooting-zoom-student-depression 
Gun found in diaper bag near toddlers Texas School for the Deaf says, 3 days ago, , https://www.kxan.com/investigations/gun-found-in-diaper-bag-near-toddlers-texas-school-for-the-deaf-says/ 
Raiders donate $1 million to Uvalde school district to fortify security, 2 days ago, The tragedy in Uvalde was the deadliest school shooting in Texas history and it added to a grim tally in the state which has been the site, https://www.nfl.com/news/raiders-donate-1-million-to-uvalde-school-district-to-fortify-security 
Beto O'Rourke cuts into Texas Gov. Abbott's lead in gubernatorial race after school shooting: Poll, 2 days ago, Greg Abbott's lead after Texas school shooting poll finds , https://www.washingtontimes.com/news/2022/jun/16/beto-orourke-cuts-texas-gov-abbotts-lead-gubernato/ 
May 25 Texas shooting news, 3 weeks ago, A wonderful 4th grade teacher at Robb Elementary that was a victim in a Texas school shooting in Uvalde Texas" it added, https://www.cnn.com/us/live-news/texas-elementary-school-shooting-05-25-22/h_160dcca838c15905f932816e0b95de5e 
Sheila Jackson Lee opens up about a bipartisan gun control bill following the Texas school shooting, 3 days ago, Texas Democrat Sheila Jackson Lee gives her take on the bipartisan deal on gun control following the Texas school shooting on 'Special Report, https://www.foxnews.com/media/sheila-jackson-lee-bipartisan-gun-control-bill-texas-school-shooting 
Fox News host chokes up while discussing Texas school shooting, 3 weeks ago, On Tuesday an 18-year-old attacker shot and killed at least 19 school children and two adults during a shooting in Uvalde Texas, https://thehill.com/blogs/pundits-blog/media/3501535-fox-news-host-chokes-up-while-discussing-texas-school-shooting/ 
Texas school shooting leaves parents fearful outraged and feeling ..., 3 weeks ago, They were teary-eyed and shaken at the news there had been a mass shooting another one this time at an elementary school in Texas, https://www.washingtonpost.com/nation/2022/05/25/texas-shooting-parents-fear-outrage/ 
A vigil was held in Morrisville for the Texas school shooting victims. As they gathered another mass..., 2 weeks ago, A vigil was held in Morrisville for the Texas school shooting victims, https://www.wral.com/a-vigil-was-held-in-morrisville-for-the-texas-school-shooting-victims-as-they-gathered-another-mass-shooting-happened/20310706/ 
News to Know for May 26: Texas school shooting; Upper Magnolia Green; Richmond Ambulance Authority, 3 weeks ago, News to Know for May 26: Texas school shooting; Upper Magnolia Green; Richmond Ambulance Authority, https://www.nbc12.com/2022/05/26/news-know-may-26-texas-school-shooting-upper-magnolia-green-richmond-ambulance-authority/ 
